1 MESSAGETABLE
{
0x0,  	"The operation completed successfully."
0x1,  	"Incorrect function."
0x2,  	"The system cannot find the file specified."
0x3,  	"The system cannot find the path specified."
4,  	"The system cannot open the file."
5,  	"Access is denied."
6,  	"The handle is invalid."
7,  	"The storage control blocks were destroyed."
8,  	"Not enough storage is available to process this command."
9,  	"The storage control block address is invalid."
10,  	"The environment is incorrect."
11,  	"An attempt was made to load a program with an incorrect format."
12,  	"The access code is invalid."
13,  	"The data is invalid."
14,  	"Not enough storage is available to complete this operation."
15,  	"The system cannot find the drive specified."
16,  	"The directory cannot be removed."
17,  	"The system cannot move the file to a different disk drive."
18,  	"There are no more files."
19,  	"The media is write protected."
20,  	"The system cannot find the device specified."
21,  	"The device is not ready."
22,  	"The device does not recognize the command."
23,  	"Data error (cyclic redundancy check)."
24,  	"The program issued a command but the command length is incorrect."
25,  	"The drive cannot locate a specific area or track on the disk."
26,  	"The specified disk or diskette cannot be accessed."
27,  	"The drive cannot find the sector requested."
28,  	"The printer is out of paper."
29,  	"The system cannot write to the specified device."
30,  	"The system cannot read from the specified device."
31,  	"A device attached to the system is not functioning."
32,  	"The process cannot access the file because it is being used by another process."
33,  	"The process cannot access the file because another process has locked a portion of the file."
34,  	"The wrong diskette is in the drive.\nInsert %2 (Volume Serial Number: %3) into drive %1."
36,  	"Too many files opened for sharing."
38,  	"Reached the end of the file."
39,  	"The disk is full."
50,  	"The request is not supported."
51,  	"Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path, contact your network administrator."
52,  	"You were not connected because a duplicate name exists on the network. Go to System in Control Panel to change the computer name and try again."
53,  	"The network path was not found."
54,  	"The network is busy."
55,  	"The specified network resource or device is no longer available."
56,  	"The network BIOS command limit has been reached."
57,  	"A network adapter hardware error occurred."
58,  	"The specified server cannot perform the requested operation."
59,  	"An unexpected network error occurred."
60,  	"The remote adapter is not compatible."
61,  	"The printer queue is full."
62,  	"Space to store the file waiting to be printed is not available on the server."
63,  	"Your file waiting to be printed was deleted."
64,  	"The specified network name is no longer available."
65,  	"Network access is denied."
66,  	"The network resource type is not correct."
67,  	"The network name cannot be found."
